stage,experiment,task_id,model_name,lang,size,tune,param_mode,head_type,truncation,data_variant,loss_type,input_mode,f1_macro,f1_micro,f1_weighted,accuracy
stage2,t1_xlmr_multi_large_unfreezing25_fixed_avgPoolHead_head_WCE_originalData_atomic,t1,xlmr-large,multi,large,unfreezing25,fixed,avgPoolHead,head,originalData,WCE,atomic,0.5919098822324629,0.6298701298701299,0.6419768787280308,0.6298701298701299
stage2,t1_mdeberta_multi_base_unfreezing25_fixed_defaultHead_head-tail_WCE_originalData_atomic,t1,mdeberta-base,multi,base,unfreezing25,fixed,defaultHead,head-tail,originalData,WCE,atomic,0.5913454824745147,0.6396103896103896,0.6498489858486717,0.6396103896103896
stage4,t1_xlmr_multi_large_unfreezing25_fixed_defaultHead_head-tail_WCE_originalData_enriched,t1,xlmr-large,multi,large,unfreezing25,fixed,defaultHead,head-tail,originalData,WCE,enriched,0.5906730269803486,0.6428571428571429,0.6508650621702329,0.6428571428571429
stage1,t1_roberta_en_large_lora8_fixed_defaultHead_head_WCE_originalData_atomic,t1,roberta-large,en,large,lora8,fixed,defaultHead,head,originalData,WCE,atomic,0.5905405263102471,0.6233766233766234,0.6355328274812705,0.6233766233766234
stage2,t1_roberta_en_large_unfreezing25_fixed_multiLayerHead_head-tail_WCE_originalData_atomic,t1,roberta-large,en,large,unfreezing25,fixed,multiLayerHead,head-tail,originalData,WCE,atomic,0.5897457097710652,0.6201298701298701,0.6328010127894375,0.6201298701298701
stage1,t1_bert_en_base_unfreezing50_fixed_defaultHead_head_WCE_originalData_atomic,t1,bert-base,en,base,unfreezing50,fixed,defaultHead,head,originalData,WCE,atomic,0.5890688405857715,0.6688311688311688,0.6762996632344841,0.6688311688311688
stage2,t1_bert_en_base_lora16_fixed_avgPoolHead_head_WCE_originalData_atomic,t1,bert-base,en,base,lora16,fixed,avgPoolHead,head,originalData,WCE,atomic,0.5887212203001676,0.6396103896103896,0.6474907867252364,0.6396103896103896
stage1,t1_mbert_multi_base_unfreezing50_fixed_defaultHead_head_WCE_originalData_atomic,t1,mbert-base,multi,base,unfreezing50,fixed,defaultHead,head,originalData,WCE,atomic,0.5879062458009826,0.6753246753246753,0.672809504234658,0.6753246753246753
stage1,t1_bert_en_base_unfreezing25_fixed_defaultHead_head_WCE_originalData_atomic,t1,bert-base,en,base,unfreezing25,fixed,defaultHead,head,originalData,WCE,atomic,0.5872331459230555,0.6428571428571429,0.6517314326489893,0.6428571428571429
stage4,t1_bert_en_base_lora16_fixed_defaultHead_head-tail_WCE_augmentedData_atomic,t1,bert-base,en,base,lora16,fixed,defaultHead,head-tail,augmentedData,WCE,atomic,0.5864067377885793,0.6331168831168831,0.6433009107635936,0.6331168831168831
stage1,t1_xlmr_multi_base_unfreezing25_fixed_defaultHead_head_WCE_originalData_atomic,t1,xlmr-base,multi,base,unfreezing25,fixed,defaultHead,head,originalData,WCE,atomic,0.5860717848424771,0.6818181818181818,0.6817225939528098,0.6818181818181818
stage2,t1_roberta_en_base_unfreezing75_fixed_defaultHead_head-tail_WCE_originalData_atomic,t1,roberta-base,en,base,unfreezing75,fixed,defaultHead,head-tail,originalData,WCE,atomic,0.5846864677581501,0.685064935064935,0.6751296436894644,0.685064935064935
stage1,t1_roberta_en_base_lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,roberta-base,en,base,lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.5834514521668354,0.6168831168831169,0.631616117787281,0.6168831168831169
stage2,t1_mbert_multi_base_unfreezing25_fixed_multiLayerHead_head-tail_WCE_originalData_atomic,t1,mbert-base,multi,base,unfreezing25,fixed,multiLayerHead,head-tail,originalData,WCE,atomic,0.5824268089414418,0.6331168831168831,0.645146629475912,0.6331168831168831
stage2,t1_roberta_en_base_unfreezing75_fixed_avgPoolHead_head_WCE_originalData_atomic,t1,roberta-base,en,base,unfreezing75,fixed,avgPoolHead,head,originalData,WCE,atomic,0.5823009443298277,0.6331168831168831,0.6484784877478482,0.6331168831168831
stage4,t1_roberta_en_large_unfreezing25_fixed_avgPoolHead_head_WCE_augmentedData_atomic,t1,roberta-large,en,large,unfreezing25,fixed,avgPoolHead,head,augmentedData,WCE,atomic,0.5815878766965724,0.6655844155844156,0.6650216394199313,0.6655844155844156
stage4,t1_deberta_en_base_unfreezing25_fixed_multiLayerHead_head-tail_WCE_augmentedData_atomic,t1,deberta-base,en,base,unfreezing25,fixed,multiLayerHead,head-tail,augmentedData,WCE,atomic,0.581366858917211,0.672077922077922,0.676318909698638,0.672077922077922
stage4,t1_roberta_en_large_unfreezing25_fixed_avgPoolHead_head_WCE_augmentedData_enriched,t1,roberta-large,en,large,unfreezing25,fixed,avgPoolHead,head,augmentedData,WCE,enriched,0.581048581048581,0.6558441558441559,0.6616536421731226,0.6558441558441559
stage1,t1_deberta_en_base_top2-lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,deberta-base,en,base,top2-lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.5809057772700951,0.6396103896103896,0.651673278234105,0.6396103896103896
stage1,t1_mdeberta_multi_base_unfreezing25_fixed_defaultHead_head_WCE_originalData_atomic,t1,mdeberta-base,multi,base,unfreezing25,fixed,defaultHead,head,originalData,WCE,atomic,0.5803779069767442,0.6558441558441559,0.6666990712775598,0.6558441558441559
stage3,t1_mbert_multi_base_unfreezing25_fixed_defaultHead_head_WCE-Dropout30_originalData_atomic,t1,mbert-base,multi,base,unfreezing25,fixed,defaultHead,head,originalData,WCE-Dropout30,atomic,0.5800947867298578,0.6363636363636364,0.6507006421698365,0.6363636363636364
exploratory_experiments,t1_longformer_en_base_partial_fixed_defaultHead_head_augmentedData_Q-CTX-A_gattnclsQ_L2048_lr2e-05_do0.10,t1,longformer-base,en,base,partial,fixed,defaultHead,head,Q-CTX-A,augmentedData,gattnclsQ,0.5797692502565556,0.7175324675324676,0.68586386111988,0.7175324675324676
stage2,t1_roberta_en_base_unfreezing75_fixed_multiLayerHead_head_WCE_originalData_atomic,t1,roberta-base,en,base,unfreezing75,fixed,multiLayerHead,head,originalData,WCE,atomic,0.5791173513464781,0.6688311688311688,0.6756637756986973,0.6688311688311688
stage3,t1_bert_en_base_lora16_fixed_defaultHead_head-tail_FOCAL-Dropout10_originalData_atomic,t1,bert-base,en,base,lora16,fixed,defaultHead,head-tail,originalData,FOCAL-Dropout10,atomic,0.578064284592782,0.6525974025974026,0.6622367619595262,0.6525974025974026
stage1,t1_roberta_en_base_unfreezing25_fixed_defaultHead_head_WCE_originalData_atomic,t1,roberta-base,en,base,unfreezing25,fixed,defaultHead,head,originalData,WCE,atomic,0.5739512756713586,0.6461038961038961,0.6554819513868879,0.6461038961038961
stage2,t1_mdeberta_multi_base_unfreezing25_fixed_avgPoolHead_head-tail_WCE_originalData_atomic,t1,mdeberta-base,multi,base,unfreezing25,fixed,avgPoolHead,head-tail,originalData,WCE,atomic,0.5738175248419152,0.6525974025974026,0.6620147115756873,0.6525974025974026
stage1,t1_roberta_en_large_top2-lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,roberta-large,en,large,top2-lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.5726370770230419,0.6071428571428571,0.6221805728384676,0.6071428571428571
exploratory_experiments,t1_longformer_en_base_partial_fixed_defaultHead_head_augmentedData_Q-CTX-A-Q_gattnclsQ_L2048_lr2e-05_do0.10,t1,longformer-base,en,base,partial,fixed,defaultHead,head,Q-CTX-A-Q,augmentedData,gattnclsQ,0.5725709475709476,0.711038961038961,0.6911168737467439,0.711038961038961
stage4,t1_mdeberta_multi_base_unfreezing25_fixed_avgPoolHead_head_WCE_augmentedData_atomic,t1,mdeberta-base,multi,base,unfreezing25,fixed,avgPoolHead,head,augmentedData,WCE,atomic,0.5696307989125668,0.6168831168831169,0.6298961824810286,0.6168831168831169
stage4,t1_xlmr_multi_base_unfreezing25_fixed_defaultHead_head_WCE_augmentedData_atomic,t1,xlmr-base,multi,base,unfreezing25,fixed,defaultHead,head,augmentedData,WCE,atomic,0.5692975015438634,0.6006493506493507,0.6141751042477918,0.6006493506493507
stage1,t1_mdeberta_multi_base_top2-lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,mdeberta-base,multi,base,top2-lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.568982978862426,0.6461038961038961,0.6587144600964066,0.6461038961038961
stage2,t1_mdeberta_multi_base_unfreezing25_fixed_multiLayerHead_head-tail_WCE_originalData_atomic,t1,mdeberta-base,multi,base,unfreezing25,fixed,multiLayerHead,head-tail,originalData,WCE,atomic,0.5684756149761989,0.6136363636363636,0.6263906981210955,0.6136363636363636
stage3,t1_xlmr_multi_base_unfreezing25_fixed_defaultHead_head_FOCAL-Dropout10_originalData_atomic,t1,xlmr-base,multi,base,unfreezing25,fixed,defaultHead,head,originalData,FOCAL-Dropout10,atomic,0.5681577765924887,0.6623376623376623,0.6643507349103456,0.6623376623376623
stage1,t1_roberta_en_base_lora8_fixed_defaultHead_head_WCE_originalData_atomic,t1,roberta-base,en,base,lora8,fixed,defaultHead,head,originalData,WCE,atomic,0.5650354534320617,0.6136363636363636,0.625836940104103,0.6136363636363636
stage2,t1_xlmr_multi_base_unfreezing25_fixed_defaultHead_head-tail_WCE_originalData_atomic,t1,xlmr-base,multi,base,unfreezing25,fixed,defaultHead,head-tail,originalData,WCE,atomic,0.5644644334160464,0.6688311688311688,0.6626005043343753,0.6688311688311688
exploratory_experiments,t1_longformer_en_base_partial_fixed_defaultHead_head_augmentedData_CTX-Q-A_gattnclsQ_L2048_lr2e-05_do0.10,t1,longformer-base,en,base,partial,fixed,defaultHead,head,CTX-Q-A,augmentedData,gattnclsQ,0.5639457769862912,0.698051948051948,0.6654500526881433,0.698051948051948
stage3,t1_mbert_multi_base_unfreezing25_fixed_defaultHead_head_FOCAL-Dropout10_originalData_atomic,t1,mbert-base,multi,base,unfreezing25,fixed,defaultHead,head,originalData,FOCAL-Dropout10,atomic,0.5634831541022911,0.6688311688311688,0.6687441355358803,0.6688311688311688
stage3,t1_roberta_en_base_unfreezing75_fixed_avgPoolHead_head-tail_FOCAL-Dropout10_originalData_atomic,t1,roberta-base,en,base,unfreezing75,fixed,avgPoolHead,head-tail,originalData,FOCAL-Dropout10,atomic,0.5634013950845634,0.6558441558441559,0.6598841987809455,0.6558441558441559
stage3,t1_bert_en_base_lora16_fixed_defaultHead_head-tail_WCE-Dropout30_originalData_atomic,t1,bert-base,en,base,lora16,fixed,defaultHead,head-tail,originalData,WCE-Dropout30,atomic,0.5624643874643874,0.6071428571428571,0.6213696026196026,0.6071428571428571
stage2,t1_mdeberta_multi_base_unfreezing25_fixed_multiLayerHead_head_WCE_originalData_atomic,t1,mdeberta-base,multi,base,unfreezing25,fixed,multiLayerHead,head,originalData,WCE,atomic,0.5622134910470917,0.6298701298701299,0.6423062655242148,0.6298701298701299
stage2,t1_mbert_multi_base_unfreezing25_fixed_defaultHead_head-tail_WCE_originalData_atomic,t1,mbert-base,multi,base,unfreezing25,fixed,defaultHead,head-tail,originalData,WCE,atomic,0.5608055664873847,0.6266233766233766,0.6427781089270168,0.6266233766233766
stage2,t1_mbert_multi_base_unfreezing25_fixed_multiLayerHead_head_WCE_originalData_atomic,t1,mbert-base,multi,base,unfreezing25,fixed,multiLayerHead,head,originalData,WCE,atomic,0.5606484298616855,0.6753246753246753,0.6764809431138802,0.6753246753246753
stage1,t1_mbert_multi_base_top2-lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,mbert-base,multi,base,top2-lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.5594541028287159,0.6558441558441559,0.6496553575423545,0.6558441558441559
stage1,t1_xlmr_multi_large_unfreezing25_fixed_defaultHead_head_WCE_originalData_atomic,t1,xlmr-large,multi,large,unfreezing25,fixed,defaultHead,head,originalData,WCE,atomic,0.5590559779765442,0.6915584415584416,0.6756819928208989,0.6915584415584416
stage3,t1_bert_en_base_lora16_fixed_defaultHead_head-tail_FOCAL-Dropout30_originalData_atomic,t1,bert-base,en,base,lora16,fixed,defaultHead,head-tail,originalData,FOCAL-Dropout30,atomic,0.5583861874559548,0.5941558441558441,0.6096544575931467,0.5941558441558441
stage1,t1_roberta_en_base_full_fixed_defaultHead_head_WCE_originalData_atomic,t1,roberta-base,en,base,full,fixed,defaultHead,head,originalData,WCE,atomic,0.5583686340377008,0.6688311688311688,0.6550240102530429,0.6688311688311688
stage3,t1_xlmr_multi_base_unfreezing25_fixed_defaultHead_head_FOCAL-Dropout30_originalData_atomic,t1,xlmr-base,multi,base,unfreezing25,fixed,defaultHead,head,originalData,FOCAL-Dropout30,atomic,0.5553642321719354,0.6233766233766234,0.6378739946718064,0.6233766233766234
stage1,t1_deberta_en_base_unfreezing75_fixed_defaultHead_head_WCE_originalData_atomic,t1,deberta-base,en,base,unfreezing75,fixed,defaultHead,head,originalData,WCE,atomic,0.5552084081495846,0.5714285714285714,0.5879786646593369,0.5714285714285714
stage1,t1_mdeberta_multi_base_unfreezing50_fixed_defaultHead_head_WCE_originalData_atomic,t1,mdeberta-base,multi,base,unfreezing50,fixed,defaultHead,head,originalData,WCE,atomic,0.555017487220877,0.6623376623376623,0.6626494973952601,0.6623376623376623
stage1,t1_xlmr_multi_large_lora8_fixed_defaultHead_head_WCE_originalData_atomic,t1,xlmr-large,multi,large,lora8,fixed,defaultHead,head,originalData,WCE,atomic,0.55264039408867,0.672077922077922,0.6520261339645577,0.672077922077922
stage4,t1_bert_en_base_lora16_fixed_defaultHead_head-tail_WCE_originalData_enriched,t1,bert-base,en,base,lora16,fixed,defaultHead,head-tail,originalData,WCE,enriched,0.5523826628352491,0.6168831168831169,0.6271983225108224,0.6168831168831169
stage1,t1_xlmr_multi_large_top2-lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,xlmr-large,multi,large,top2-lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.5519801606189042,0.6168831168831169,0.6280265611068971,0.6168831168831169
stage1,t1_mbert_multi_base_full_fixed_defaultHead_head_WCE_originalData_atomic,t1,mbert-base,multi,base,full,fixed,defaultHead,head,originalData,WCE,atomic,0.5519111687997507,0.6525974025974026,0.6487396236124411,0.6525974025974026
stage1,t1_xlmr_multi_base_unfreezing50_fixed_defaultHead_head_WCE_originalData_atomic,t1,xlmr-base,multi,base,unfreezing50,fixed,defaultHead,head,originalData,WCE,atomic,0.5513866453185146,0.6655844155844156,0.6544307561115157,0.6655844155844156
stage2,t1_xlmr_multi_base_unfreezing25_fixed_avgPoolHead_head_WCE_originalData_atomic,t1,xlmr-base,multi,base,unfreezing25,fixed,avgPoolHead,head,originalData,WCE,atomic,0.5511485511485511,0.6525974025974026,0.6531577115992699,0.6525974025974026
exploratory_experiments,t1_longformer_en_base_partial_fixed_defaultHead_head_augmentedData_Q-CTX-A_gattncls_L2048_lr2e-05_do0.10,t1,longformer-base,en,base,partial,fixed,defaultHead,head,Q-CTX-A,augmentedData,gattncls,0.5503329986663876,0.7142857142857143,0.6641484741822644,0.7142857142857143
stage2,t1_xlmr_multi_base_unfreezing25_fixed_multiLayerHead_head-tail_WCE_originalData_atomic,t1,xlmr-base,multi,base,unfreezing25,fixed,multiLayerHead,head-tail,originalData,WCE,atomic,0.549679396194733,0.6396103896103896,0.6478393637959623,0.6396103896103896
stage3,t1_xlmr_multi_base_unfreezing25_fixed_defaultHead_head_WCE-Dropout30_originalData_atomic,t1,xlmr-base,multi,base,unfreezing25,fixed,defaultHead,head,originalData,WCE-Dropout30,atomic,0.5495769154160416,0.6201298701298701,0.6330297854859689,0.6201298701298701
